colsample_bytree,combo,learning_rate,max_depth,min_samples_leaf,model_a_epochs,n_estimators_rf,n_estimators_xgb,rolling_windows,subsample,test_metrics_by_conference_E_kendall_tau,test_metrics_by_conference_E_ndcg,test_metrics_by_conference_E_rank_mae_ensemble_pred_vs_playoff_outcome_rank,test_metrics_by_conference_E_rank_mae_model_a_pred_vs_playoff_outcome_rank,test_metrics_by_conference_E_rank_mae_rf_pred_vs_playoff_outcome_rank,test_metrics_by_conference_E_rank_mae_wl_record_standings_vs_playoff_outcome_rank,test_metrics_by_conference_E_rank_mae_xgb_pred_vs_playoff_outcome_rank,test_metrics_by_conference_E_rank_rmse_ensemble_pred_vs_playoff_outcome_rank,test_metrics_by_conference_E_rank_rmse_model_a_pred_vs_playoff_outcome_rank,test_metrics_by_conference_E_rank_rmse_rf_pred_vs_playoff_outcome_rank,test_metrics_by_conference_E_rank_rmse_wl_record_standings_vs_playoff_outcome_rank,test_metrics_by_conference_E_rank_rmse_xgb_pred_vs_playoff_outcome_rank,test_metrics_by_conference_E_spearman,test_metrics_by_conference_W_kendall_tau,test_metrics_by_conference_W_ndcg,test_metrics_by_conference_W_rank_mae_ensemble_pred_vs_playoff_outcome_rank,test_metrics_by_conference_W_rank_mae_model_a_pred_vs_playoff_outcome_rank,test_metrics_by_conference_W_rank_mae_rf_pred_vs_playoff_outcome_rank,test_metrics_by_conference_W_rank_mae_wl_record_standings_vs_playoff_outcome_rank,test_metrics_by_conference_W_rank_mae_xgb_pred_vs_playoff_outcome_rank,test_metrics_by_conference_W_rank_rmse_ensemble_pred_vs_playoff_outcome_rank,test_metrics_by_conference_W_rank_rmse_model_a_pred_vs_playoff_outcome_rank,test_metrics_by_conference_W_rank_rmse_rf_pred_vs_playoff_outcome_rank,test_metrics_by_conference_W_rank_rmse_wl_record_standings_vs_playoff_outcome_rank,test_metrics_by_conference_W_rank_rmse_xgb_pred_vs_playoff_outcome_rank,test_metrics_by_conference_W_spearman,test_metrics_ensemble_kendall_tau,test_metrics_ensemble_kendall_tau_standings,test_metrics_ensemble_mrr_top2,test_metrics_ensemble_mrr_top4,test_metrics_ensemble_ndcg,test_metrics_ensemble_ndcg_at_12,test_metrics_ensemble_ndcg_at_16,test_metrics_ensemble_ndcg_at_16_standings,test_metrics_ensemble_ndcg_at_20,test_metrics_ensemble_ndcg_at_30,test_metrics_ensemble_ndcg_at_30_standings,test_metrics_ensemble_ndcg_at_4,test_metrics_ensemble_ndcg_at_4_standings,test_metrics_ensemble_pearson,test_metrics_ensemble_playoff_brier_championship_odds,test_metrics_ensemble_playoff_champion_in_top_4,test_metrics_ensemble_playoff_champion_rank,test_metrics_ensemble_playoff_ece_championship_odds,test_metrics_ensemble_playoff_kendall_tau_pred_vs_playoff_outcome_rank,test_metrics_ensemble_playoff_ndcg_at_30_pred_vs_playoff_outcome_rank,test_metrics_ensemble_playoff_ndcg_at_4_final_four,test_metrics_ensemble_playoff_rank_mae_pred_vs_playoff_outcome_rank,test_metrics_ensemble_playoff_rank_mae_wl_record_standings_vs_playoff_outcome_rank,test_metrics_ensemble_playoff_rank_rmse_pred_vs_playoff_outcome_rank,test_metrics_ensemble_playoff_rank_rmse_wl_record_standings_vs_playoff_outcome_rank,test_metrics_ensemble_playoff_spearman_pred_vs_playoff_outcome_rank,test_metrics_ensemble_precision_at_4,test_metrics_ensemble_precision_at_8,test_metrics_ensemble_rank_mae_pred_vs_playoff_outcome_rank,test_metrics_ensemble_rank_mae_wl_record_standings_vs_playoff_outcome_rank,test_metrics_ensemble_rank_rmse_pred_vs_playoff_outcome_rank,test_metrics_ensemble_rank_rmse_standings,test_metrics_ensemble_rank_rmse_wl_record_standings_vs_playoff_outcome_rank,test_metrics_ensemble_roc_auc_upset,test_metrics_ensemble_spearman,test_metrics_ensemble_spearman_standings,test_metrics_model_a_kendall_tau,test_metrics_model_a_mrr_top2,test_metrics_model_a_mrr_top4,test_metrics_model_a_ndcg,test_metrics_model_a_ndcg_at_12,test_metrics_model_a_ndcg_at_16,test_metrics_model_a_ndcg_at_20,test_metrics_model_a_ndcg_at_30,test_metrics_model_a_ndcg_at_4,test_metrics_model_a_pearson,test_metrics_model_a_precision_at_4,test_metrics_model_a_precision_at_8,test_metrics_model_a_rank_mae_pred_vs_playoff_outcome_rank,test_metrics_model_a_rank_rmse_pred_vs_playoff_outcome_rank,test_metrics_model_a_roc_auc_upset,test_metrics_model_a_spearman,test_metrics_model_b_kendall_tau,test_metrics_model_b_mrr_top2,test_metrics_model_b_mrr_top4,test_metrics_model_b_ndcg,test_metrics_model_b_ndcg_at_12,test_metrics_model_b_ndcg_at_16,test_metrics_model_b_ndcg_at_20,test_metrics_model_b_ndcg_at_30,test_metrics_model_b_ndcg_at_4,test_metrics_model_b_pearson,test_metrics_model_b_precision_at_4,test_metrics_model_b_precision_at_8,test_metrics_model_b_rank_mae_pred_vs_playoff_outcome_rank,test_metrics_model_b_rank_rmse_pred_vs_playoff_outcome_rank,test_metrics_model_b_roc_auc_upset,test_metrics_model_b_spearman,test_metrics_model_c_kendall_tau,test_metrics_model_c_mrr_top2,test_metrics_model_c_mrr_top4,test_metrics_model_c_ndcg,test_metrics_model_c_ndcg_at_12,test_metrics_model_c_ndcg_at_16,test_metrics_model_c_ndcg_at_20,test_metrics_model_c_ndcg_at_30,test_metrics_model_c_ndcg_at_4,test_metrics_model_c_pearson,test_metrics_model_c_precision_at_4,test_metrics_model_c_precision_at_8,test_metrics_model_c_rank_mae_pred_vs_playoff_outcome_rank,test_metrics_model_c_rank_rmse_pred_vs_playoff_outcome_rank,test_metrics_model_c_roc_auc_upset,test_metrics_model_c_spearman,value
0.7,0,0.08,3,5,21,200,269,"(10, 30)",0.8,0.1619047619047619,0.2314839405034758,8.733333333333333,8.733333333333333,16.0,2.933333333333333,8.666666666666666,10.82281540696936,10.82281540696936,18.24280680158621,3.8297084310253524,11.529671865813587,0.25,0.40952380952380957,0.7491604019672018,6.333333333333333,6.333333333333333,15.0,3.3333333333333335,7.2,7.593857166596345,7.593857166596345,17.24915456865447,4.993328882953068,8.981462390204987,0.5464285714285714,0.30114942528735633,-0.3425287356321839,0.5,0.5,0.5941635977840446,0.48217017005301027,0.5240304530583909,0.5004448257499564,0.5252453836949056,0.5941635977840446,0.5883240605520349,0.4642838088219973,0.4458920834630934,0.41668522357940674,0.030076470226049423,1.0,2,0.0,0.32873563218390806,0.5941603929397669,0.4642838088219973,7.5333333015441895,3.1333333333333333,9.348796844482422,4.449719092257398,0.43804226918798667,0.25,0.375,7.5333333015441895,3.1333333333333333,9.348796844482422,9.095786094665527,4.449719092257398,0.7822222222222222,0.4166852057842047,-0.44783092324805335,0.30114942528735633,0.5,0.5,0.5941635977840446,0.48217017005301027,0.5240304530583909,0.5252453836949056,0.5941635977840446,0.4642838088219973,0.41668519377708435,0.25,0.375,7.5333333015441895,9.348796844482422,0.7822222222222222,0.4166852057842047,0.17701149425287357,0.2,0.2,0.4315709336550007,0.29419901293239,0.3794790406463595,0.37955968701828924,0.4315709336550007,0.03989844056956009,0.28720802068710327,0.0,0.625,7.933333396911621,10.3344087600708,0.8266666666666667,0.28720800889877635,0.0,0.08333333333333333,0.5,0.3523699022875814,0.22764303037812714,0.2400367383145598,0.2770249187057514,0.3523699022875814,0.052939225660911464,0.0,0.25,0.125,15.5,17.752933502197266,0.5,0.0,0.4166852057842047
0.7,1,0.08,3,5,26,200,294,"(10, 30)",0.8,0.23809523809523814,0.25812728088515724,8.2,8.2,16.0,2.933333333333333,8.666666666666666,10.376254944182254,10.376254944182254,18.24280680158621,3.8297084310253524,11.529671865813587,0.3142857142857143,0.4285714285714286,0.7491604019672018,6.2,6.2,15.0,3.3333333333333335,7.2,7.416198487095663,7.416198487095663,17.24915456865447,4.993328882953068,8.981462390204987,0.557142857142857,0.33333333333333337,-0.37471264367816093,0.5,0.5,0.5947916788672981,0.4826220185425423,0.5244822668884495,0.5041298138615798,0.5280454479406296,0.5947916788672981,0.5976533147574568,0.46423103544156546,0.44576015001201386,0.4571746587753296,0.030076472088694572,1.0,2,0.0,0.3701149425287356,0.5947864267331715,0.46421784209645756,7.199999809265137,3.1333333333333333,9.018499374389648,4.449719092257398,0.4901001112347052,0.25,0.375,7.199999809265137,3.1333333333333333,9.018499374389648,8.536197662353516,4.449719092257398,0.7244444444444444,0.457174638487208,-0.5136818687430478,0.33333333333333337,0.5,0.5,0.5947916788672981,0.4826220185425423,0.5244822668884495,0.5280454479406296,0.5947916788672981,0.46423103544156546,0.4571746587753296,0.25,0.375,7.199999809265137,9.018499374389648,0.7244444444444444,0.457174638487208,0.17701149425287357,0.2,0.2,0.4315709336550007,0.29419901293239,0.3794790406463595,0.37955968701828924,0.4315709336550007,0.03989844056956009,0.28720802068710327,0.0,0.625,7.933333396911621,10.3344087600708,0.8266666666666667,0.28720800889877635,0.0,0.08333333333333333,0.5,0.3523699022875814,0.22764303037812714,0.2400367383145598,0.2770249187057514,0.3523699022875814,0.052939225660911464,0.0,0.25,0.125,15.5,17.752933502197266,0.5,0.0,0.457174638487208
0.7,2,0.08,3,5,23,200,258,"(10, 30)",0.8,0.23809523809523814,0.2674460252579418,8.466666666666667,8.466666666666667,16.0,2.933333333333333,8.666666666666666,10.554619841567009,10.611314715905847,18.24280680158621,3.8297084310253524,11.529671865813587,0.28571428571428564,0.40952380952380957,0.7258637696514016,6.6,6.6,15.0,3.3333333333333335,7.2,7.620148729957092,7.620148729957092,17.24915456865447,4.993328882953068,8.981462390204987,0.532142857142857,0.32873563218390806,-0.3425287356321839,0.5,0.5,0.5975024218865477,0.4844399190745345,0.5273781440107866,0.5093296997843832,0.5285707236923652,0.5975024218865477,0.5976410877644173,0.46449490234372454,0.44578653670222973,0.43448278307914734,0.030076468363404274,1.0,2,3.725290298461914e-09,0.33793103448275863,0.5974991510183726,0.46449490234372454,7.5333333015441895,3.1333333333333333,9.205070495605469,4.449719092257398,0.44249165739710794,0.25,0.5,7.5333333015441895,3.1333333333333333,9.205070495605469,9.025888442993164,4.449719092257398,0.7737556561085973,0.43448275862068964,-0.4562847608453838,0.3241379310344828,0.5,0.5,0.5968815886696512,0.48381903533234016,0.5267573078940775,0.5279498903062307,0.5968815886696512,0.46449490234372454,0.43047836422920227,0.25,0.5,7.5333333015441895,9.237604141235352,0.7276785714285715,0.4304783092324805,0.17701149425287357,0.2,0.2,0.4315709336550007,0.29419901293239,0.3794790406463595,0.37955968701828924,0.4315709336550007,0.03989844056956009,0.28720802068710327,0.0,0.625,7.933333396911621,10.3344087600708,0.8266666666666667,0.28720800889877635,0.0,0.08333333333333333,0.5,0.3523699022875814,0.22764303037812714,0.2400367383145598,0.2770249187057514,0.3523699022875814,0.052939225660911464,0.0,0.25,0.125,15.5,17.752933502197266,0.5,0.0,0.43448275862068964
0.7,3,0.08,4,5,21,200,277,"(10, 30)",0.8,0.21904761904761905,0.26747278143622405,8.266666666666667,8.266666666666667,16.0,2.933333333333333,9.066666666666666,10.469001862641921,10.469001862641921,18.24280680158621,3.8297084310253524,11.47170431975999,0.28928571428571426,0.40952380952380957,0.735032833103196,6.533333333333333,6.533333333333333,15.0,3.3333333333333335,7.2,7.7631608682718065,7.7631608682718065,17.24915456865447,4.993328882953068,8.88444333277743,0.532142857142857,0.32873563218390806,-0.3701149425287356,0.5,0.5,0.59540361700609,0.48229748498789354,0.525235874261615,0.5092968148241034,0.5264530422761482,0.59540361700609,0.5982847780538328,0.46449490234372454,0.44578653670222973,0.43314799666404724,0.030076470226049423,1.0,2,0.0,0.36551724137931035,0.5954004663623016,0.46449490234372454,7.400000095367432,3.1333333333333333,9.215928077697754,4.449719092257398,0.4625139043381535,0.25,0.375,7.400000095367432,3.1333333333333333,9.215928077697754,8.861903190612793,4.449719092257398,0.8169642857142856,0.4331479421579533,-0.4758620689655172,0.32873563218390806,0.5,0.5,0.59540361700609,0.48229748498789354,0.525235874261615,0.5264530422761482,0.59540361700609,0.46449490234372454,0.43314799666404724,0.25,0.375,7.400000095367432,9.215928077697754,0.8169642857142856,0.4331479421579533,0.17241379310344826,0.14285714285714285,0.14285714285714285,0.3948964382944035,0.2572802031218704,0.34256306934321273,0.3426435443589087,0.3948964382944035,0.037089553910794264,0.29744160175323486,0.0,0.625,8.133333206176758,10.259954452514648,0.8794642857142857,0.29744160177975526,0.0,0.08333333333333333,0.5,0.3523699022875814,0.22764303037812714,0.2400367383145598,0.2770249187057514,0.3523699022875814,0.052939225660911464,0.0,0.25,0.125,15.5,17.752933502197266,0.5,0.0,0.4331479421579533
0.7,4,0.08,3,5,28,200,285,"(10, 30)",0.8,0.23809523809523814,0.3083743446054581,8.466666666666667,8.466666666666667,16.0,2.933333333333333,8.666666666666666,10.65520217233504,10.65520217233504,18.24280680158621,3.8297084310253524,11.529671865813587,0.2928571428571428,0.4285714285714286,0.7258637696514016,6.333333333333333,6.333333333333333,15.0,3.3333333333333335,7.2,7.389181280764467,7.389181280764467,17.24915456865447,4.993328882953068,8.981462390204987,0.5607142857142856,0.3241379310344828,-0.36551724137931035,0.5,0.5,0.5971491831767514,0.4841053340843297,0.5270435846852457,0.516437568122453,0.5282384092359569,0.5971491831767514,0.6041474787298706,0.4732201012417847,0.5178046098648476,0.4389322102069855,0.030076470226049423,1.0,2,3.725290298461914e-09,0.3517241379310345,0.5971459508451836,0.4732201012417847,7.400000095367432,3.1333333333333333,9.168787956237793,4.449719092257398,0.46117908787541706,0.25,0.375,7.400000095367432,3.1333333333333333,9.168787956237793,8.816650390625,4.449719092257398,0.7647058823529412,0.43893214682981085,-0.48120133481646277,0.3241379310344828,0.5,0.5,0.5971491831767514,0.4841053340843297,0.5270435846852457,0.5282384092359569,0.5971491831767514,0.4732201012417847,0.4389321804046631,0.25,0.375,7.400000095367432,9.168787956237793,0.7647058823529412,0.43893214682981085,0.17701149425287357,0.2,0.2,0.4315709336550007,0.29419901293239,0.3794790406463595,0.37955968701828924,0.4315709336550007,0.03989844056956009,0.28720802068710327,0.0,0.625,7.933333396911621,10.3344087600708,0.8266666666666667,0.28720800889877635,0.0,0.08333333333333333,0.5,0.3523699022875814,0.22764303037812714,0.2400367383145598,0.2770249187057514,0.3523699022875814,0.052939225660911464,0.0,0.25,0.125,15.5,17.752933502197266,0.5,0.0,0.43893214682981085
0.7,5,0.08,4,5,16,200,251,"(10, 30)",0.8,0.21904761904761905,0.25812728088515724,8.266666666666667,8.266666666666667,16.0,2.933333333333333,9.066666666666666,10.481730137084558,10.545141061171254,18.24280680158621,3.8297084310253524,11.47170431975999,0.3107142857142856,0.3904761904761905,0.7258597620414731,6.4,6.4,15.0,3.3333333333333335,7.2,7.694153624668538,7.694153624668538,17.24915456865447,4.993328882953068,8.88444333277743,0.5214285714285714,0.31494252873563217,-0.3563218390804598,0.5,0.5,0.5948313068419929,0.48165040975388956,0.5245888453613515,0.5043191956935261,0.5280920626807526,0.5948313068419929,0.5964111029053493,0.46423103544156546,0.44576015001201386,0.4358175992965698,0.030076470226049423,1.0,2,3.725290298461914e-09,0.3517241379310345,0.594826190906349,0.46421784209645756,7.333333492279053,3.1333333333333333,9.194201469421387,4.449719092257398,0.4651835372636262,0.25,0.375,7.333333492279053,3.1333333333333333,9.194201469421387,8.752142906188965,4.449719092257398,0.768888888888889,0.435817575083426,-0.4887652947719689,0.3103448275862069,0.5,0.5,0.5947965658321928,0.48165040975388956,0.5245888453613515,0.5257836807085495,0.5947965658321928,0.46423103544156546,0.4313682019710541,0.25,0.375,7.333333492279053,9.230384826660156,0.768888888888889,0.4313681868743047,0.17241379310344826,0.14285714285714285,0.14285714285714285,0.3948964382944035,0.2572802031218704,0.34256306934321273,0.3426435443589087,0.3948964382944035,0.037089553910794264,0.29744160175323486,0.0,0.625,8.133333206176758,10.259954452514648,0.8794642857142857,0.29744160177975526,0.0,0.08333333333333333,0.5,0.3523699022875814,0.22764303037812714,0.2400367383145598,0.2770249187057514,0.3523699022875814,0.052939225660911464,0.0,0.25,0.125,15.5,17.752933502197266,0.5,0.0,0.435817575083426
0.7,6,0.08,3,5,26,200,281,"(10, 30)",0.8,0.18095238095238098,0.23527754981724125,8.533333333333333,8.733333333333333,16.0,2.933333333333333,8.666666666666666,10.70202473055138,10.754843869934453,18.24280680158621,3.8297084310253524,11.529671865813587,0.25,0.40952380952380957,0.735032833103196,6.266666666666667,6.333333333333333,15.0,3.3333333333333335,7.2,7.229568912920511,7.289261508090743,17.24915456865447,4.993328882953068,8.981462390204987,0.532142857142857,0.32873563218390806,-0.3701149425287356,0.5,0.5,0.594292983592317,0.4816302877087401,0.5234906121263158,0.5041404303434236,0.5247055451371704,0.594292983592317,0.5921165104293803,0.4642838088219973,0.4458920834630934,0.44338157773017883,0.030076470226049423,1.0,2,0.0,0.3563218390804598,0.5942888057875498,0.4642838088219973,7.400000095367432,3.1333333333333333,9.132360458374023,4.449719092257398,0.46651835372636263,0.25,0.375,7.400000095367432,3.1333333333333333,9.132360458374023,8.767363548278809,4.449719092257398,0.7733333333333333,0.44338153503893213,-0.48698553948832035,0.3195402298850575,0.5,0.5,0.5938431382265569,0.4811804643635526,0.523040823285261,0.5242557582743864,0.5938431382265569,0.4642838088219973,0.43670743703842163,0.25,0.375,7.5333333015441895,9.186946868896484,0.7822222222222222,0.43670745272525024,0.17701149425287357,0.2,0.2,0.4315709336550007,0.29419901293239,0.3794790406463595,0.37955968701828924,0.4315709336550007,0.03989844056956009,0.28720802068710327,0.0,0.625,7.933333396911621,10.3344087600708,0.8266666666666667,0.28720800889877635,0.0,0.08333333333333333,0.5,0.3523699022875814,0.22764303037812714,0.2400367383145598,0.2770249187057514,0.3523699022875814,0.052939225660911464,0.0,0.25,0.125,15.5,17.752933502197266,0.5,0.0,0.44338153503893213
0.7,7,0.08,4,5,27,200,265,"(10, 30)",0.8,0.20000000000000004,0.2710143210787059,8.8,8.8,16.0,2.933333333333333,9.066666666666666,10.862780491200215,10.862780491200215,18.24280680158621,3.8297084310253524,11.47170431975999,0.2714285714285714,0.4666666666666667,0.7491604019672018,5.733333333333333,5.733333333333333,15.0,3.3333333333333335,7.2,6.723094525588644,6.723094525588644,17.24915456865447,4.993328882953068,8.88444333277743,0.6071428571428571,0.32873563218390806,-0.37931034482758624,0.5,0.5,0.5963426571053928,0.48321379391170693,0.5261521128990702,0.5093129719133066,0.5279643104542768,0.5963426571053928,0.5990321744619318,0.46423103544156546,0.44576015001201386,0.4553948938846588,0.030076470226049423,1.0,2,0.0,0.36551724137931035,0.596337307217329,0.46421784209645756,7.266666889190674,3.1333333333333333,9.033271789550781,4.449719092257398,0.48120133481646277,0.25,0.375,7.266666889190674,3.1333333333333333,9.033271789550781,8.582928657531738,4.449719092257398,0.7723214285714285,0.4553948832035596,-0.5083426028921022,0.32873563218390806,0.5,0.5,0.5963426571053928,0.48321379391170693,0.5261521128990702,0.5279643104542768,0.5963426571053928,0.46423103544156546,0.4553948938846588,0.25,0.375,7.266666889190674,9.033271789550781,0.7723214285714285,0.4553948832035596,0.17241379310344826,0.14285714285714285,0.14285714285714285,0.3948964382944035,0.2572802031218704,0.34256306934321273,0.3426435443589087,0.3948964382944035,0.037089553910794264,0.29744160175323486,0.0,0.625,8.133333206176758,10.259954452514648,0.8794642857142857,0.29744160177975526,0.0,0.08333333333333333,0.5,0.3523699022875814,0.22764303037812714,0.2400367383145598,0.2770249187057514,0.3523699022875814,0.052939225660911464,0.0,0.25,0.125,15.5,17.752933502197266,0.5,0.0,0.4553948832035596
0.7,8,0.08,4,5,26,200,253,"(10, 30)",0.8,0.23809523809523814,0.26747278143622405,8.466666666666667,8.333333333333334,16.0,2.933333333333333,9.066666666666666,10.623872489194637,10.54197957374863,18.24280680158621,3.8297084310253524,11.47170431975999,0.2928571428571428,0.40952380952380957,0.7491604019672018,6.466666666666667,6.466666666666667,15.0,3.3333333333333335,7.2,7.646349891723937,7.646349891723937,17.24915456865447,4.993328882953068,8.88444333277743,0.5464285714285714,0.3195402298850575,-0.3425287356321839,0.5,0.5,0.5952623350585848,0.483268965127189,0.5251291638484356,0.5091082209556571,0.5263440897916468,0.5952623350585848,0.5969874264811653,0.46449490234372454,0.44578653670222973,0.4282536506652832,0.030076472088694572,1.0,2,0.0,0.33793103448275863,0.5952590330024949,0.46449490234372454,7.4666666984558105,3.1333333333333333,9.25562858581543,4.449719092257398,0.44249165739710794,0.25,0.375,7.4666666984558105,3.1333333333333333,9.25562858581543,9.040648460388184,4.449719092257398,0.7692307692307693,0.4282536151279199,-0.4545050055617353,0.3241379310344828,0.5,0.5,0.5952623690143709,0.483268965127189,0.5251291638484356,0.5263463459990636,0.5952623690143709,0.46449490234372454,0.43403783440589905,0.25,0.375,7.400000095367432,9.208691596984863,0.7647058823529412,0.43403781979977757,0.17241379310344826,0.14285714285714285,0.14285714285714285,0.3948964382944035,0.2572802031218704,0.34256306934321273,0.3426435443589087,0.3948964382944035,0.037089553910794264,0.29744160175323486,0.0,0.625,8.133333206176758,10.259954452514648,0.8794642857142857,0.29744160177975526,0.0,0.08333333333333333,0.5,0.3523699022875814,0.22764303037812714,0.2400367383145598,0.2770249187057514,0.3523699022875814,0.052939225660911464,0.0,0.25,0.125,15.5,17.752933502197266,0.5,0.0,0.4282536151279199
0.7,9,0.08,3,5,24,200,277,"(10, 30)",0.8,0.1619047619047619,0.24395638138346284,8.933333333333334,9.0,16.0,2.933333333333333,8.666666666666666,10.93008081702357,10.963576058932597,18.24280680158621,3.8297084310253524,11.529671865813587,0.25357142857142856,0.40952380952380957,0.7491604019672018,6.266666666666667,6.2,15.0,3.3333333333333335,7.2,7.35753581937141,7.316647684105975,17.24915456865447,4.993328882953068,8.981462390204987,0.5464285714285714,0.30574712643678165,-0.3563218390804598,0.5,0.5,0.5952318600061342,0.482146752830738,0.5250851536665146,0.5006337165999444,0.5263000746754702,0.5952318600061342,0.5889479908328683,0.46423103544156546,0.44576015001201386,0.42068973183631897,0.030076468363404274,1.0,2,0.0,0.3425287356321839,0.5952265266909086,0.46421784209645756,7.599999904632568,3.1333333333333333,9.316652297973633,4.449719092257398,0.44916573971078977,0.25,0.375,7.599999904632568,3.1333333333333333,9.316652297973633,8.992589950561523,4.449719092257398,0.7321428571428571,0.4206896551724138,-0.4602892102335928,0.30114942528735633,0.5,0.5,0.5952318599398061,0.482146752830738,0.5250851536665146,0.5263000702682772,0.5952318599398061,0.46423103544156546,0.4202447235584259,0.25,0.375,7.599999904632568,9.320228576660156,0.7321428571428571,0.4202447163515017,0.17701149425287357,0.2,0.2,0.4315709336550007,0.29419901293239,0.3794790406463595,0.37955968701828924,0.4315709336550007,0.03989844056956009,0.28720802068710327,0.0,0.625,7.933333396911621,10.3344087600708,0.8266666666666667,0.28720800889877635,0.0,0.08333333333333333,0.5,0.3523699022875814,0.22764303037812714,0.2400367383145598,0.2770249187057514,0.3523699022875814,0.052939225660911464,0.0,0.25,0.125,15.5,17.752933502197266,0.5,0.0,0.4206896551724138
