combo,f_FT_rate,f_ORB_pct,f_TOV_pct,f_days_until_playoffs,f_eFG,f_eliminated_x_late_season,f_elimination_status,f_elo,f_late_season,f_massey_rating,f_pace,f_raptor_defense_sum_top5,f_raptor_offense_sum_top5,test_metrics_by_conference_E_ndcg,test_metrics_by_conference_E_spearman,test_metrics_by_conference_W_ndcg,test_metrics_by_conference_W_spearman,test_metrics_ensemble_mrr_top2,test_metrics_ensemble_mrr_top4,test_metrics_ensemble_ndcg,test_metrics_ensemble_ndcg10,test_metrics_ensemble_ndcg_at_12,test_metrics_ensemble_ndcg_at_16,test_metrics_ensemble_ndcg_at_20,test_metrics_ensemble_ndcg_at_4,test_metrics_ensemble_playoff_brier_championship_odds,test_metrics_ensemble_playoff_ndcg10_pred_vs_playoff_final_results,test_metrics_ensemble_playoff_ndcg_at_4_final_four,test_metrics_ensemble_playoff_rank_mae_eos_standings_vs_playoff_final_results,test_metrics_ensemble_playoff_rank_mae_pred_vs_playoff_final_results,test_metrics_ensemble_playoff_rank_rmse_eos_standings_vs_playoff_final_results,test_metrics_ensemble_playoff_rank_rmse_pred_vs_playoff_final_results,test_metrics_ensemble_playoff_spearman_pred_vs_playoff_final_results,test_metrics_ensemble_rank_mae_eos_standings_vs_playoff_final_results,test_metrics_ensemble_rank_mae_pred_vs_playoff_final_results,test_metrics_ensemble_rank_rmse_eos_standings_vs_playoff_final_results,test_metrics_ensemble_rank_rmse_pred_vs_playoff_final_results,test_metrics_ensemble_roc_auc_upset,test_metrics_ensemble_spearman,test_metrics_model_a_mrr_top2,test_metrics_model_a_mrr_top4,test_metrics_model_a_ndcg,test_metrics_model_a_ndcg10,test_metrics_model_a_ndcg_at_12,test_metrics_model_a_ndcg_at_16,test_metrics_model_a_ndcg_at_20,test_metrics_model_a_ndcg_at_4,test_metrics_model_a_roc_auc_upset,test_metrics_model_a_spearman,test_metrics_model_b_mrr_top2,test_metrics_model_b_mrr_top4,test_metrics_model_b_ndcg,test_metrics_model_b_ndcg10,test_metrics_model_b_ndcg_at_12,test_metrics_model_b_ndcg_at_16,test_metrics_model_b_ndcg_at_20,test_metrics_model_b_ndcg_at_4,test_metrics_model_b_roc_auc_upset,test_metrics_model_b_spearman,test_metrics_model_c_mrr_top2,test_metrics_model_c_mrr_top4,test_metrics_model_c_ndcg,test_metrics_model_c_ndcg10,test_metrics_model_c_ndcg_at_12,test_metrics_model_c_ndcg_at_16,test_metrics_model_c_ndcg_at_20,test_metrics_model_c_ndcg_at_4,test_metrics_model_c_roc_auc_upset,test_metrics_model_c_spearman,value
0,True,False,True,True,True,True,False,True,True,False,True,False,True,0.2545238648351895,0.2178571428571428,0.7737357849437491,0.6749999999999999,0.5,0.5,0.5380423454737209,0.5380423454737209,0.5382445709273252,0.5382255069451961,0.5418338438883357,0.4640676940033355,0.03222232684493065,0.5380295064733267,0.46405447074221323,3.1333333333333333,6.5333333015441895,4.449719092257398,8.752142906188965,0.4905450500556173,3.1333333333333333,6.5333333015441895,4.449719092257398,8.752142906188965,0.7366071428571428,0.4887652947719689,0.5,0.5,0.5380423454737209,0.5380423454737209,0.5379231390868902,0.53821648143657,0.5418248184194058,0.4640676940033355,0.7410714285714286,0.48698553948832035,0.25,0.25,0.20053731756682447,0.20053731756682447,0.20053959514612973,0.4117236040160864,0.4118010419524024,0.16775742802418675,0.7410714285714285,0.6591768631813125,0.07692307692307693,0.16666666666666666,0.056867047066994164,0.056867047066994164,0.05959501626703317,0.14489412814685032,0.18312514794511056,0.021615451923040332,0.8080357142857143,0.42335928809788653,0.5382255069451961
1,False,True,True,True,False,True,True,False,True,True,True,True,False,0.2595236328252539,0.22499999999999998,0.7737357849437491,0.6678571428571428,0.5,0.5,0.5330604840351411,0.5330604840351411,0.5332640180602265,0.5332448096923555,0.5368121873824919,0.4643944167678145,0.03222232684493065,0.5330476547169707,0.4643812234227066,3.1333333333333333,6.933333396911621,4.449719092257398,8.914407730102539,0.4794215795328142,3.1333333333333333,6.933333396911621,4.449719092257398,8.914407730102539,0.7601809954751131,0.4696329254727475,0.5,0.5,0.5312026627150419,0.5312026627150419,0.5314066847288091,0.5313876188294796,0.5349550046879524,0.4643944167678145,0.7647058823529411,0.46073414905450494,1.0,1.0,0.7337845578210973,0.7337845578210973,0.7569274386792348,0.8400814920934142,0.8402391596918323,0.6829649526661502,0.8201058201058201,0.4967741935483871,1.0,1.0,0.7447098098349161,0.7447098098349161,0.8351177575384326,0.8553520707273041,0.855507419553005,0.7458688452230231,0.7824074074074074,0.49276974416017794,0.5332448096923555
2,False,False,True,False,True,False,True,True,False,True,True,False,False,0.27648335380805505,0.27499999999999997,0.7621882543043447,0.7321428571428571,0.3333333333333333,0.3333333333333333,0.3983713218875869,0.3983713218875869,0.44250674780273563,0.44249500097911737,0.44663592445502937,0.37686049376780834,0.03222232684493065,0.3983579552016723,0.3768473004227004,3.1333333333333333,6.933333396911621,4.449719092257398,8.801514625549316,0.489210233592881,3.1333333333333333,6.933333396911621,4.449719092257398,8.801514625549316,0.8044444444444444,0.4829810901001112,0.3333333333333333,0.3333333333333333,0.39774543524562633,0.39774543524562633,0.44188102556065256,0.44186932673366136,0.4459820287028992,0.37686049376780834,0.7633928571428571,0.46918798665183536,0.25,0.25,0.36731775382103327,0.36731775382103327,0.3672643015550312,0.4702382992795111,0.47031780609542123,0.3124244583053889,0.71875,0.6080088987764182,0.14285714285714285,0.14285714285714285,0.14019451248303538,0.14019451248303538,0.1408434102635798,0.1622536961489335,0.3151612897023855,0.021615451923040332,0.7911111111111111,0.4166852057842047,0.44249500097911737
3,True,False,False,True,False,False,True,True,True,True,False,True,False,0.263461645385468,0.27499999999999997,0.7723194325143398,0.682142857142857,0.5,0.5,0.4844845181981032,0.4844845181981032,0.5285973250030614,0.5285785294488363,0.532182322977789,0.4643519436832566,0.03222232684493065,0.48446908824137114,0.46433662668392073,3.1333333333333333,6.866666793823242,4.449719092257398,8.8430757522583,0.49499443826473855,3.1333333333333333,6.866666793823242,4.449719092257398,8.8430757522583,0.7946428571428571,0.4780867630700778,0.5,0.5,0.4844845181981032,0.4844845181981032,0.5285973250030614,0.5285785294488363,0.532182322977789,0.4643519436832566,0.7946428571428571,0.4780867630700778,0.2,0.3333333333333333,0.3772152383970067,0.3772152383970067,0.3771181865223742,0.4585277372368981,0.45856658246136683,0.11341296838879296,0.75,0.6489432703003337,1.0,1.0,0.857778947200826,0.857778947200826,0.8575546517536301,0.857692882385784,0.8761801265220345,0.7596858824842182,0.7239819004524888,0.7067853170189099,0.5285785294488363
4,False,False,True,True,True,False,False,True,False,False,False,False,False,0.26248772319829716,0.2714285714285714,0.7737357849437491,0.7321428571428571,0.5,0.5,0.4842526831627675,0.4842526831627675,0.52836555086318,0.5283472446607965,0.5319555516218243,0.46444719014824637,0.03222232684493065,0.4842406186325394,0.46444719014824637,3.1333333333333333,6.866666793823242,4.449719092257398,8.759756088256836,0.49410456062291436,3.1333333333333333,6.866666793823242,4.449719092257398,8.759756088256836,0.7589285714285714,0.48787541713014465,0.5,0.5,0.4842526831627675,0.4842526831627675,0.52836555086318,0.5283472446607965,0.5319146438915078,0.46444719014824637,0.7633928571428571,0.4794215795328142,0.5,0.5,0.5797787705900707,0.5797787705900707,0.5796281663141806,0.6222395189705923,0.6228363599935823,0.45330826342272706,0.6380090497737556,0.7098998887652946,1.0,1.0,0.7097939751389355,0.7097939751389355,0.7096089179941091,0.7926878161557982,0.7932716188886549,0.6898842912997367,0.755656108597285,0.5577308120133482,0.5283472446607965
5,True,False,False,False,False,False,True,True,False,False,False,False,True,0.29911471791003796,0.3321428571428571,0.7356950005896224,0.6,0.5,0.5,0.4842527413517856,0.4842527413517856,0.5283656090369138,0.528347302830068,0.5319101980589804,0.4733834825680338,0.03222232684493065,0.4842426222832147,0.4733834825680338,3.1333333333333333,7.066666603088379,4.449719092257398,8.83553409576416,0.4843159065628476,3.1333333333333333,7.066666603088379,4.449719092257398,8.83553409576416,0.8133333333333334,0.47897664071190205,0.5,0.5,0.48425636991251186,0.48425636991251186,0.5283692366445363,0.5283504037355865,0.5295695411885978,0.4733834825680338,0.8125,0.4638487208008899,0.3333333333333333,0.3333333333333333,0.520756424545124,0.520756424545124,0.5206638773348025,0.5428423456100303,0.5428543206644245,0.35938170546570813,0.7592592592592593,0.7423804226918799,0.3333333333333333,0.3333333333333333,0.5368229427235094,0.5368229427235094,0.5366876394316726,0.5368467032036928,0.5368552949240222,0.3605075375815869,0.6875,0.6974416017797552,0.528347302830068
6,False,False,False,True,False,True,True,True,True,True,False,True,True,0.2970889035745066,0.28571428571428564,0.7510775020335729,0.6535714285714285,0.5,0.5,0.48724594096253404,0.48724594096253404,0.5324391880022158,0.5324003946776605,0.5359256397292267,0.4733834825680338,0.03222232684493065,0.4872344170054777,0.4733834825680338,3.1333333333333333,6.866666793823242,4.449719092257398,8.706319808959961,0.5021134593993326,3.1333333333333333,6.866666793823242,4.449719092257398,8.706319808959961,0.8,0.49410456062291436,0.5,0.5,0.48724594096253404,0.48724594096253404,0.5324391880022158,0.5324003946776605,0.5359256397292267,0.4733834825680338,0.8,0.49410456062291436,1.0,1.0,0.8394321164005015,0.8394321164005015,0.8619043834317837,0.8619978038479105,0.8620009765410098,0.686743398563792,0.6696832579185521,0.7561735261401556,0.3333333333333333,0.3333333333333333,0.5498218214506672,0.5498218214506672,0.5498087347273443,0.5499252443461593,0.5499230053939899,0.3643666855073834,0.7244444444444444,0.8046718576195773,0.5324003946776605
7,True,False,True,False,True,False,False,True,True,False,False,True,True,0.2469456564454394,0.21071428571428572,0.7505337657243399,0.6857142857142856,0.5,0.5,0.5296246552826509,0.5296246552826509,0.5298290917871759,0.5310516931285116,0.5334385491438707,0.4640705200119564,0.03222232684493065,0.5296097583674884,0.4640551772443684,3.1333333333333333,6.800000190734863,4.449719092257398,8.918146133422852,0.4487208008898776,3.1333333333333333,6.800000190734863,4.449719092257398,8.918146133422852,0.7142857142857143,0.46918798665183536,0.5,0.5,0.5291674566311392,0.5291674566311392,0.5293720132267433,0.5305951470370874,0.5329820049886592,0.4640705200119564,0.7288888888888888,0.4589543937708565,0.2,0.2,0.37964496821589794,0.37964496821589794,0.37954696487661616,0.37956959036841453,0.4165434678879801,0.04029517653159447,0.7239819004524888,0.6983314794215795,0.14285714285714285,0.16666666666666666,0.288234310358289,0.288234310358289,0.37593368644203823,0.3765504862115584,0.41478034467723734,0.0301945308447331,0.71875,0.6703003337041158,0.5310516931285116
8,True,True,False,True,False,True,True,True,False,True,True,True,False,0.27560733329778697,0.25357142857142856,0.7510775020335729,0.6892857142857142,0.3333333333333333,0.3333333333333333,0.4007649361322988,0.4007649361322988,0.4006605266381212,0.44330183855605054,0.44682747548278323,0.37698363165548254,0.03222232684493065,0.4007534113366719,0.37698363165548254,3.1333333333333333,7.0,4.449719092257398,8.906926155090332,0.46785317018909905,3.1333333333333333,7.0,4.449719092257398,8.906926155090332,0.7647058823529411,0.4705228031145718,0.25,0.25,0.35574311990261714,0.35574311990261714,0.35565053616181885,0.3982953006144033,0.40182113548984943,0.3306143494740822,0.7692307692307693,0.46562847608453833,0.2,0.2,0.4128836417605868,0.4128836417605868,0.41277653008451426,0.41291425213702276,0.43238858671033487,0.03124999845336941,0.75,0.6516129032258065,0.3333333333333333,0.3333333333333333,0.5139291054954204,0.5139291054954204,0.5139710655347041,0.5139384262633034,0.5139836554164472,0.3643666855073834,0.7410714285714286,0.6226918798665184,0.44330183855605054
9,False,False,True,False,True,False,True,True,True,False,True,False,True,0.2893506736974382,0.23928571428571427,0.7524991469189859,0.7357142857142855,0.5,0.5,0.48339013114299884,0.48339013114299884,0.5275032254075156,0.5274647805138328,0.5310321836258166,0.46449490234372454,0.03222232684493065,0.4833807273282299,0.46449490234372454,3.1333333333333333,6.800000190734863,4.449719092257398,8.8656644821167,0.4852057842046719,3.1333333333333333,6.800000190734863,4.449719092257398,8.8656644821167,0.7955555555555556,0.47541713014460507,0.5,0.5,0.48338800524041897,0.48338800524041897,0.5275011000633405,0.5274626553326843,0.5310300584540152,0.46449490234372454,0.7955555555555556,0.47452725250278077,0.5,0.5,0.5772802637131544,0.5772802637131544,0.5772145187660958,0.6168993281698288,0.6169111141657875,0.43654099349886577,0.6742081447963801,0.6618464961067854,0.125,0.125,0.13351795669564936,0.13351795669564936,0.13419077869261808,0.341037725709104,0.35983399007901934,0.021615451923040332,0.8214285714285714,0.4229143492769744,0.5274647805138328
