colsample_bytree,combo,learning_rate,max_depth,min_samples_leaf,model_a_epochs,n_estimators_rf,n_estimators_xgb,rolling_windows,subsample,value
0.7,0,0.08912874144231027,5,5,28,189,239,"(15, 30)",0.8,-inf
0.7,1,0.08439990632627327,5,5,28,186,236,"(15, 30)",0.8,-inf
0.7,2,0.08571043717316994,5,5,28,190,244,"(15, 30)",0.8,-inf
0.7,3,0.08724336143998342,5,5,25,184,249,"(15, 30)",0.8,-inf
0.7,4,0.0863340176227153,5,5,25,190,231,"(15, 30)",0.8,-inf
0.7,5,0.08122087951462093,5,5,28,166,233,"(15, 30)",0.8,-inf
0.7,6,0.08534849752889981,5,5,25,176,242,"(15, 30)",0.8,-inf
0.7,7,0.08728801462205327,5,5,25,178,238,"(15, 30)",0.8,-inf
0.7,8,0.08482734020090506,5,5,25,182,220,"(15, 30)",0.8,-inf
0.7,9,0.08437436452902952,5,5,25,168,235,"(15, 30)",0.8,-inf
0.7,10,0.08703428139221482,5,5,28,182,246,"(15, 30)",0.8,-inf
0.7,11,0.08119148496956956,5,5,24,168,233,"(15, 30)",0.8,-inf
0.7,12,0.0899093892346087,5,5,28,174,224,"(15, 30)",0.8,-inf
0.7,13,0.0898961848301813,5,5,27,173,227,"(15, 30)",0.8,-inf
0.7,14,0.0897652421128823,5,5,27,186,227,"(15, 30)",0.8,-inf
0.7,15,0.08919431387450326,5,5,27,187,226,"(15, 30)",0.8,-inf
0.7,16,0.08322898650227073,5,5,27,186,239,"(15, 30)",0.8,-inf
0.7,17,0.0828306454766801,5,5,27,187,239,"(15, 30)",0.8,-inf
0.7,18,0.08280416802193477,5,5,27,187,239,"(15, 30)",0.8,-inf
0.7,19,0.0837830367027116,5,5,27,180,239,"(15, 30)",0.8,-inf
